,ANO,COMBUSTÍVEL,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
0,2000,ETANOL HIDRATADO (m3),450152.863,583328.481,2167973.332,835344.64,593678.364,641816.14,497277.526,500268.298,655871.159,556870.424,395395.327,453688.579,875510.647
1,2000,GASOLINA C (m3),2664999.835,2032035.142,2953926.358,4063912.866,2683043.499,3654477.836,8770024.878,3489481.709,3023515.158,4080850.654,2355971.336,2355985.289,3132160.262
2,2000,GASOLINA DE AVIAÇÃO (m3),7137.909000000001,30563.559999999998,8828.282,9102.074,13256.111,9881.747,15699.948,12858.213,8478.489,6842.802,8182.629,8358.065,12689.403
3,2000,GLP (m3),2230953.6963636354,1375322.218181819,1414390.5327272736,1982592.770909091,1434977.84,1225385.9872727275,1888598.4472727268,2347165.145454542,1503341.1072727263,1946227.689090909,4522000.696363632,1960134.530909092,1734926.952727273
4,2000,QUEROSENE DE AVIAÇÃO (m3),654038.592,468740.32,502720.102,957130.728,2182040.061,516092.632,412625.66,551758.301,415054.017,390966.218,591587.558,653352.6980000001,369257.12899999996
5,2000,QUEROSENE ILUMINANTE (m3),13742.071,12986.463,16605.509000000002,23262.92,20637.499,28800.671000000002,25893.698,16987.125,24216.809,56982.48300000001,25042.639,17646.776,27134.773
6,2000,ÓLEO COMBUSTÍVEL (m3),1404970.0061224482,860800.4418367351,945863.124489796,1568375.845918367,2116434.2408163296,1907269.2234693887,1706579.7928571433,4152478.777551018,1422204.9408163258,1070781.797959184,1286780.0408163262,821286.4663265306,908374.6500000004
7,2000,ÓLEO DIESEL (m3),6220375.069,4478045.604,5695768.958,4028390.816,4662528.579,4923804.843,4175850.38,3445028.657,5179020.521,7100668.122,4571043.386,4832404.927,10989598.440000001
8,2001,ETANOL HIDRATADO (m3),656560.988,340912.30700000003,443768.593,1618469.789,706796.9160000001,456850.60000000003,497823.015,367043.449,358815.745,479888.656,417151.243,302390.761,357514.93
9,2001,GASOLINA C (m3),3092128.895,2662320.188,2013468.301,2851769.306,3956855.103,2541489.0810000002,3479132.661,8771591.219,3374273.108,2939846.1010000003,4005578.7709999997,2348550.431,2385000.187
10,2001,GASOLINA DE AVIAÇÃO (m3),10556.584,6819.099,32377.615,8546.902,8274.556,12949.986,9982.052,13274.98,10046.834,6748.258,6039.8949999999995,8006.092000000001,8040.117
11,2001,GLP (m3),1592624.392727274,2188845.6963636368,1361334.7527272727,1403931.6890909097,1984324.316363636,1437148.5636363635,1211220.1145454552,1920524.4636363632,2383944.027272729,1505431.3581818182,1934775.8036363637,4539560.081818184,1942652.4236363634
12,2001,QUEROSENE DE AVIAÇÃO (m3),440688.19,734240.776,501023.898,494438.287,1033858.973,2502331.5670000003,558682.078,471347.39900000003,635327.452,472191.828,449894.305,633086.46,709393.965
13,2001,QUEROSENE ILUMINANTE (m3),34840.456,16267.491999999998,18801.284,19374.989999999998,13992.003,18865.936,25801.641,43716.309,28038.267,38024.852,93003.365,29596.305,23011.239999999998
14,2001,ÓLEO COMBUSTÍVEL (m3),828085.5663265303,1238701.4285714275,777156.6459183678,798583.8612244896,1488971.1806122446,2045389.914285713,1638570.3581632657,1524133.9163265314,3663081.9459183645,1223393.7540816332,1022504.6224489799,1145902.5122448974,791304.9040816323
15,2001,ÓLEO DIESEL (m3),11875712.891999999,6579827.802999999,4608635.9059999995,6026032.299000001,4226411.527,4800824.711,5185584.766,4353798.348999999,3615308.718,5512398.4,7313902.186,4861394.318,5089974.073
16,2002,ETANOL HIDRATADO (m3),402295.37,727140.244,340982.58400000003,445744.891,1901344.5990000002,658994.03,451729.761,496547.632,399697.969,413377.037,526190.413,466945.892,352769.334
17,2002,GASOLINA C (m3),2412183.113,3128327.788,2727387.611,2019313.736,2915765.445,4119435.846,2560933.392,3794787.923,8544530.419,3411975.339,3102813.7830000003,4091788.902,2391270.799
18,2002,GASOLINA DE AVIAÇÃO (m3),7028.605,8172.386,5627.366,22535.865999999998,9009.007,8107.375999999999,12785.296,9907.134,14145.955,10367.674,6261.656,4685.534,8050.429
19,2002,GLP (m3),1882610.7236363636,1512103.3145454542,2112102.3309090906,1301150.6981818178,1324374.1145454543,1869846.203636364,1375990.5799999998,1151763.250909091,1819757.5581818179,2346756.579999999,1447773.1763636367,1881163.6927272729,4304022.387272732
20,2002,QUEROSENE DE AVIAÇÃO (m3),661466.031,355383.20399999997,725904.3489999999,461101.01900000003,498614.88,940275.5809999999,2213641.038,542260.574,431827.192,587591.167,460028.213,409698.386,584957.286
21,2002,QUEROSENE ILUMINANTE (m3),22792.642,28787.214,18532.397,14346.403,21641.517,20036.913,17646.141,25313.913,38238.798,20548.686,38703.546,108016.605,27060.479
22,2002,ÓLEO COMBUSTÍVEL (m3),645585.1071428573,683960.20612245,1051110.6653061216,660856.443877551,592298.7857142856,1258441.2438775513,1650839.5591836749,1578582.025510204,1123504.9428571428,2908831.579591841,1143328.1755102042,825634.080612245,999019.1846938774
23,2002,ÓLEO DIESEL (m3),5183937.749,12078511.43,6777882.2639999995,4841701.537,6104272.956,4322710.732,5050248.189,5304309.701,4361213.932,3656512.189,5412122.201,7450804.117,4792468.041
