,ANO,COMBUSTÍVEL,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
0,2013,ÓLEO DIESEL (OUTROS ) (m3),6671.0380000000005,3167.741,3478.432,3274.9030000000002,2962.295,2428.33,3672.2380000000003,2795.976,3417.635,14750.605,16346.198,5017.709,4664.408
1,2013,ÓLEO DIESEL MARÍTIMO (m3),76539.717,63421.088,70690.371,85551.094,68760.55799999999,189856.215,63887.49,206702.978,363418.351,98521.87,78173.667,128746.293,97216.302
2,2013,ÓLEO DIESEL S-10 (m3),1108467.5389999999,1021294.741,1460507.966,1800554.264,1429328.792,1819113.645,3486575.007,1614583.117,1225792.185,1801676.703,1062922.972,1185489.352,1887725.655
3,2013,ÓLEO DIESEL S-1800 (m3),4028399.508,4293297.644,2933009.981,2045950.111,3423260.161,5700967.549,3351485.737,2881826.752,4771571.084,2063956.861,2612954.497,3926242.561,3288093.576
4,2013,ÓLEO DIESEL S-500 (m3),2800923.904,2437334.117,2469658.943,4206118.696,4297501.611,2967911.382,2827035.838,9204837.946,6674480.863,3441812.14,3205355.615,2188606.881,2534230.77
5,2014,ÓLEO DIESEL (OUTROS ) (m3),3549.8950000000004,14253.243999999999,13691.702,4344.67,3305.37,4730.061,3481.043,2671.309,7203.197,2116.397,2314.793,2916.227,2574.648
6,2014,ÓLEO DIESEL MARÍTIMO (m3),371468.335,109356.182,76561.917,124365.026,91997.546,78233.391,62885.707,73969.448,79981.052,71043.56599999999,205550.36800000002,62892.600000000006,188205.652
7,2014,ÓLEO DIESEL S-10 (m3),1899909.5459999999,2429165.925,1592928.387,1740093.806,2452306.835,1653099.8,1427894.639,2135574.023,2679126.103,2093828.395,2432317.128,4838428.205,2468586.258
8,2014,ÓLEO DIESEL S-1800 (m3),292636.35099999997,104809.575,92504.24,101805.666,87651.84000000001,109736.63600000001,105592.77900000001,94260.125,100511.976,809951.11,134076.385,169513.492,92946.525
9,2014,ÓLEO DIESEL S-500 (m3),8223741.197,5656564.333,6659685.756,5031776.208,6085696.495,6973968.782,4821634.751,4027458.61,6189386.58,9317579.053000001,5766549.769,5157921.148,12348353.399999999
10,2015,ÓLEO DIESEL (OUTROS ) (m3),4908.974,2764.936,2211.094,2294.86,2174.996,3552.558,14993.681999999999,13642.465,3603.108,2768.545,2926.471,1998.547,1802.5520000000001
11,2015,ÓLEO DIESEL MARÍTIMO (m3),87792.241,77293.89300000001,201306.915,76803.553,191427.802,410557.17799999996,97831.95,77866.943,122881.334,94701.974,73174.8,73666.658,75354.927
12,2015,ÓLEO DIESEL S-10 (m3),2997080.651,2375123.005,2668902.552,5309089.296,2820364.108,2122575.028,2678029.754,1852035.8939999999,1921831.145,2692459.878,1867191.027,1568581.0939999998,2363152.5239999997
13,2015,ÓLEO DIESEL S-1800 (m3),69243.359,668142.447,118288.321,122665.34399999998,69224.906,200364.25900000002,74911.566,76570.01699999999,75106.739,96920.425,92049.056,92687.17199999999,82148.497
14,2015,ÓLEO DIESEL S-500 (m3),5562153.058999999,8165043.18,5139416.374,4508930.524,11327617.068,7578347.613,4913731.677,6018967.937,4586959.898,5519537.361,6210341.277,4457018.017,3638635.739
15,2016,ÓLEO DIESEL (OUTROS ) (m3),3173.422,3236.496,2616.9829999999997,2171.511,3207.642,1622.602,3777.544,1823.777,1727.824,1952.783,2866.302,13863.636,10678.13
16,2016,ÓLEO DIESEL MARÍTIMO (m3),118421.98999999999,88467.65299999999,72295.456,57875.053,63910.964,69332.2,61973.839,189416.128,56746.371,168813.636,326369.694,93867.856,73344.418
17,2016,ÓLEO DIESEL S-10 (m3),2091980.039,2925779.779,1960352.049,1693189.932,2556368.507,3206572.96,2516864.432,2765328.6640000003,5675253.077,3047483.913,2326244.129,2891013.381,1994125.668
18,2016,ÓLEO DIESEL S-1800 (m3),40230.715,53253.298,62563.89,45575.994,53325.915,51997.947,472954.33599999995,52909.221,107481.26999999999,46704.093,52386.429,49490.89,44021.896
19,2016,ÓLEO DIESEL S-500 (m3),4126592.82,5144400.624,5143211.696,3975281.652,3315874.947,4984506.6680000005,7516737.849,4469675.33,3809756.798,10446166.362,7086799.369,4595608.196,5665521.501
20,2017,ÓLEO DIESEL (OUTROS ) (m3),2466.61,2192.4139999999998,2604.499,14017.527,9763.418,2863.744,2628.406,1910.2269999999999,1204.105,2315.368,1357.442,3209.5860000000002,1806.78
21,2017,ÓLEO DIESEL MARÍTIMO (m3),51189.14039524243,168152.36496166035,246544.43528720894,96924.2045571516,72680.16365876263,110980.44835507026,90841.83590052229,70758.6423468415,55242.73775247466,54488.81965985535,75090.06138903352,54948.376661133065,188592.1250750439
22,2017,ÓLEO DIESEL S-10 (m3),6215491.501822803,3369617.777579311,2539707.8807532876,3156850.1307016616,2123654.4109831476,2342075.068932559,3446015.66335389,2165283.694642798,1863616.1536111184,2868220.30707543,3594022.0354909343,2742616.625375119,2870538.299677937
23,2017,ÓLEO DIESEL S-1800 (m3),34385.029,13052.985,26178.03,35181.034,42479.883,43243.314,55305.517,65394.95,41734.351,41262.364,56952.529,444646.192,24875.354
24,2017,ÓLEO DIESEL S-500 (m3),3563724.9065324715,10120786.988919891,6957334.020214157,4372870.056195327,5481633.648965713,3818490.3022607616,4988519.1051719645,4918152.675014823,3876527.506021443,3185442.5743154315,4892330.286498196,7328196.711201728,4433402.100688088
25,2018,ÓLEO DIESEL (OUTROS ) (m3),1671.844,2646.387,2579.608,1343.597,1385.0,2048.016,1389.235,3404.0,13817.271,10308.478,2727.748,2577.995,2812.565
26,2018,ÓLEO DIESEL MARÍTIMO (m3),56813.231,59479.131,54281.896,52231.588,190215.143,51560.684,180494.885,221896.207,83796.63,72133.27,107459.419,94738.557,62525.083
27,2018,ÓLEO DIESEL S-10 (m3),2056670.73,3213929.1240000003,3965441.548,3060149.691,3071051.162,6869078.275,3821577.046,2796591.8279999997,3502758.037,2403447.41,2614415.586,3814904.8819999998,2418038.299
28,2018,ÓLEO DIESEL S-1800 (m3),3283.388,161.709,748.73,288938.238,35977.41,35262.803,43472.695,47301.547,22661.356,39293.808,42246.852,27656.741,5782.1990000000005
29,2018,ÓLEO DIESEL S-500 (m3),3842050.143,3083601.548,4881524.737,6967214.988,4421544.4399999995,3356396.194,9713908.632,6821195.056,4097024.151,5238796.2809999995,3844255.577,4837811.821,4616384.268
30,2019,ÓLEO DIESEL (OUTROS ) (m3),12365.5,10895.0,2042.69,2402.372,2093.361,1399.0,2969.361,1444.0,1388.909,1313.0,1278.0,1886.0,3108.909
31,2019,ÓLEO DIESEL MARÍTIMO (m3),90251.89199999999,79232.158,110141.383,94736.536,80906.349,68137.961,70189.756,82634.62999999999,65149.505,217376.179,63078.286,222519.409,287415.14200000005
32,2019,ÓLEO DIESEL S-10 (m3),4195851.381,2901848.565,3600841.498,4551066.775,3025818.414,2543149.42,3946174.3819999998,5062520.634000001,3849672.684,3573244.444,8314900.8610000005,4809724.832,3581741.288
33,2019,ÓLEO DIESEL S-1800 (m3),200.0,14920.753,21974.311,14398.201,17524.964,24541.345,22030.579,5500.374,116087.552,584.8240000000001,103.201,191.0,195.0
34,2019,ÓLEO DIESEL S-500 (m3),3744266.42,4591374.268,3478345.733,4238473.76,4103808.541,3352161.793,2749478.566,4250370.043,6482409.615,3987066.078,2991272.4790000003,8699305.662,6157399.92
35,2020,ÓLEO DIESEL (OUTROS ) (m3),1671.0,1800.0,968.0,310.0,345.0,6725.485,7515.0,2108.0,1639.4,1218.4850000000001,839.0,1293.0,1871.4
36,2020,ÓLEO DIESEL MARÍTIMO (m3),35498.084,158248.289,28316.065,159359.792,209706.776,81027.254,69485.807,96426.73300000001,81468.726,64483.409,57853.86,55169.971000000005,68857.43
37,2020,ÓLEO DIESEL S-10 (m3),2732487.327,2230959.018,6445824.244,4190097.551,3060374.739,3502694.415,2509258.819,3308729.74,3967276.432,2588316.213,2031456.614,3250918.496,3851599.968
38,2020,ÓLEO DIESEL S-1800 (m3),37987.42,1901.987,1050.0,1328.4650000000001,8397.991,5753.707,9403.377,15144.893,0.0,5148.0,2677.0,567.0,707.0
39,2020,ÓLEO DIESEL S-500 (m3),4093609.924,2351354.461,1707566.19,5714536.801999999,4292872.927,2542565.96,3230655.008,2616642.817,3206156.8140000002,3146486.752,2321132.656,1779043.122,2746693.393
