ANO,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
2000,13646370.041486084,9841822.230018554,13706076.198217068,13468112.660827458,13706596.19381633,12907529.079742117,17492550.33012987,14516026.22600556,12231702.20108905,15210190.190050093,13756003.612179957,11102857.331235621,18049652.256727275
2001,18531197.964053802,13767934.789935064,9756566.995645639,13221147.1233154,13419484.574975882,13815850.358922077,12606796.68570872,17465430.084962897,14068836.097191093,12177923.207263451,15242850.191085342,13868486.961063081,11306891.839717995
2002,11217899.34077922,18522385.786667906,13759529.567215212,9766750.594059369,13367321.30425974,13197847.925513916,13333813.956183676,12903472.153419295,16732916.766038962,13355960.25159184,12137221.16387384,15238737.209339518,13459617.93996661
2003,12657561.671651207,10736055.175768089,17636347.018918365,13152390.61465306,9368968.23928757,12612056.44179963,12724192.615671614,12680887.975352503,12092926.862230055,15543116.755139148,12259526.670834875,11482530.6793859,14522165.63829128
2004,15604474.514903525,13241077.83157885,11152251.438636364,18543576.006176256,13847931.770044526,9785202.827584416,14136943.807875697,13622304.665025976,13292605.784510205,12602806.445756957,15986801.675033394,12585721.540257888,12437905.17709462
2005,12615949.671549166,15652013.504341371,13241922.64343414,11390766.825450834,18589845.28570501,13853679.137324674,10013643.87373655,13991210.999730982,13563694.009324674,13228666.58012987,12790411.933883118,16243844.168235622,12439134.637209648
2006,12116564.93205009,12836556.471291281,15957946.462241188,13633602.220732838,11547060.609935066,18645007.247320965,14103804.434868274,10227143.199306123,15558206.733250465,14027788.475398885,13106114.593473097,13174476.614927644,16411315.948717996
2007,17213900.312439274,12773956.868332352,13663108.84670863,17111343.42804967,14291044.10553275,12417313.631589197,20198891.863119513,15147542.39593545,11158837.280535303,17997266.317167025,15441242.367122013,14076316.73204182,14080665.279745841
2008,15031176.644766267,18193049.30640617,13616759.028195202,15190605.389512196,18265857.621592347,15294883.495858757,13584890.18402825,21896792.530584164,16231255.195114877,12242856.41766571,20486606.70384258,16607065.666777525,15303227.629963154
2009,15475391.08885483,15429198.724135522,18160177.92679206,14040943.697522903,15687251.507173564,18602888.550593436,15315825.53638253,14100640.530675527,22310855.77561356,16193895.17454271,12935205.051088594,22024087.923020594,17329346.076589704
2010,20472045.2612236,17863407.99127272,18415238.1268828,21815363.696427964,17259530.629840128,19559487.022048317,23527840.935114823,19557671.090160094,16840905.073301524,26106975.628189184,19291277.447680533,15242722.204880267,25067844.682543334
2011,23918348.096093386,20992148.87866895,19256326.058522247,18630859.776653074,23615467.921237078,18045933.02517926,20110970.613728695,23371143.988940813,20766821.011896495,18772926.54048402,26578127.533767994,20584568.660810873,15558572.35204608
2012,16998707.78926476,24719011.99727089,21813262.43128003,20438708.41008074,20206512.47822126,24653471.059310023,19060868.90418745,21434942.90742146,24365305.42991463,20291528.070315998,19872572.089834444,29801509.336377915,21573953.380955145
2013,32356399.701313604,25432288.85538935,33745772.011772275,31587288.51311201,30394288.181676205,32415198.848910972,35730244.346145205,33052236.69121556,35539741.83610835,33389846.573179714,28428486.0690495,26943732.41863593,39346249.08212901
2014,42193206.21446245,33846949.729963414,28300761.958966605,35341732.53985998,34047194.23181029,31233175.228788674,29113920.702708412,33564493.25088005,29425500.16859263,35334225.10119942,35476609.20395286,32727164.048056155,35511774.719628654
2015,29007039.292133886,42594169.93492246,31748064.925728776,29006875.297630236,45122417.80508846,34185940.99604766,30096135.179814097,30606527.5933534,32317495.569512997,28779762.161231406,31534327.29023117,31646138.895062745,27908062.060836963
2016,26581975.812710144,27190831.83626087,37317989.10236232,28642904.751869563,23247860.488652173,37690670.273028985,34399182.81681159,28761260.78437681,31126282.64601449,39158083.012057975,29260785.39127536,30090958.463811595,32766871.668478265
2017,35426578.648788005,34403819.28308346,27808664.727137536,38107000.81634286,31237911.45350184,23738793.708016343,36347294.636295944,30719693.98743609,28049196.52076172,27171785.23552222,35026928.832714595,30554412.317449234,29905639.719906636
2018,29058925.038173914,31532132.6122029,30115101.803942032,28793364.032811593,38026487.50239131,33479244.71789855,31501980.623449273,39458633.62313043,29637942.362985507,30327847.72472464,27861700.722536232,33041569.816884056,27250530.492782604
2019,28237693.37215942,31410054.124550723,33212066.22753623,30073975.095999993,26205245.973434784,37713681.937420286,29699299.48244927,27705638.500724636,42240679.72933333,30054444.128927536,33762297.12176812,35603206.1942029,35366641.12227536
2020,24334368.694405794,19306193.100217395,24539643.217550725,28288889.673608698,22307021.757057972,18625806.31489855,27733353.853811592,22488685.481942028,19001612.14063768,27581075.407869566,20045163.678652175,20546489.868608695,21638119.302536234
